	GSM461182_untreat_single.counts	GSM461177_untreat_paired.counts	GSM461176_untreat_single.counts	GSM461178_untreat_paired.counts	GSM461181_treat_paired.counts	GSM461180_treat_paired.counts	GSM461179_treat_single.counts
FBgn0037223	18.244792	15.595280	28.255484	9.615775	-20.445482	-23.549926	-27.715923
FBgn0037290	-62.646438	-78.558032	-79.205027	-83.742615	85.769436	86.473497	131.909178
FBgn0000071	-367.375366	-311.417547	-333.131519	-290.660788	579.970754	440.350759	282.263708
FBgn0037646	24.717723	14.810348	56.591048	40.067213	-41.600356	-45.423568	-49.162407
FBgn0037678	-28.758334	-14.621684	-26.660626	-38.350611	40.233539	60.168344	7.989372
FBgn0261552	1940.618558	4540.556728	7474.529452	1818.662606	-5995.097153	-5760.087129	-4019.183063
FBgn0002868	157.341573	-3.909839	140.239044	26.007803	-109.445383	-117.838582	-92.394615
FBgn0037754	414.679882	124.553273	235.436897	67.223322	-291.409480	-284.557864	-265.926029
FBgn0265276	-135.031321	-106.598592	-91.936835	-135.964786	115.784943	130.849673	222.896918
FBgn0038149	-504.357574	-497.166637	-529.249149	-422.103882	936.373015	574.627934	441.876292
FBgn0038198	-49.442455	-47.996313	-60.151708	-76.496462	111.852260	69.078159	53.156519
FBgn0038237	-9.030177	31.403727	55.585330	10.036986	-36.048544	-33.316158	-18.631164
FBgn0038261	-20.941691	-10.370793	-28.138071	-23.801676	29.339866	43.205815	10.706550
FBgn0263041	166.143327	12.485841	-2.563744	94.172348	-94.519379	-89.913407	-85.804987
FBgn0063649	364.602671	347.756845	273.971621	118.722309	-392.721091	-361.027360	-351.304995
FBgn0038528	-88.489998	-85.968186	-112.125082	-87.636680	136.213100	66.276450	171.730396
FBgn0038832	465.242179	151.121820	183.918162	183.079524	-317.594404	-331.159016	-334.608265
FBgn0039109	313.683854	253.958395	189.882510	172.139765	-283.659761	-336.197949	-309.806813
FBgn0039155	893.525315	629.056118	700.067300	807.536163	-992.200850	-1012.955810	-1025.028237
FBgn0039178	-17.410875	-16.536307	-11.084029	-14.452766	7.734383	38.132016	13.617580
FBgn0039257	281.766747	232.569172	356.501883	124.883695	-307.107433	-347.125212	-341.488851
FBgn0051092	-138.486915	-139.395894	-142.579139	-152.110503	213.848427	229.237182	129.486843
FBgn0002609	56.767326	17.156373	15.396569	10.445539	-38.409380	-35.416961	-25.939465
FBgn0039419	871.709440	959.656117	933.499550	602.473170	-1130.308118	-1192.306554	-1044.723605
FBgn0026562	12167.618512	50523.165312	10446.880474	63939.302796	-41790.451631	-43689.853511	-51596.661951
FBgn0039464	-576.620609	-331.077304	-467.218921	-301.040782	776.972303	752.649776	146.335537
FBgn0039479	-144.536932	-90.160217	-119.621233	-99.160429	170.365833	186.932092	96.180886
FBgn0039485	-33.892228	-44.606690	-33.891890	-32.105445	32.007660	61.347791	51.140801
FBgn0039593	-34.344003	-47.446657	-31.547059	-22.874269	55.804900	30.393275	50.013813
FBgn0039640	9.210634	51.544500	57.557735	64.277537	-68.788312	-53.602169	-60.199925
FBgn0024288	34.972979	78.240291	60.809640	66.933960	-81.062010	-78.732348	-81.162513
FBgn0039827	237.750295	351.386578	166.402942	302.766513	-342.134864	-363.985969	-352.185495
FBgn0016715	63.028884	83.042053	153.464699	116.221408	-143.295357	-133.772686	-138.689001
FBgn0035147	9105.269434	10128.464860	258.999426	15026.277860	-9186.463947	-9712.591882	-15619.955751
FBgn0264475	866.654301	338.582105	445.873609	464.859809	-693.217251	-736.763474	-685.989099
FBgn0063667	-14.239415	-16.812843	-14.017690	-10.053470	25.015506	16.736991	13.370921
FBgn0035189	-260.387065	-195.993822	-219.049354	-241.089491	292.880272	432.018525	191.620934
FBgn0020248	-30.372311	-26.756284	-29.007899	-32.004460	49.661128	35.003031	33.476795
FBgn0035344	33.089579	65.768788	40.474639	44.951808	-62.723441	-51.447188	-70.114185
FBgn0035523	-45.213640	-47.619036	-12.334542	-24.374591	1.692115	70.309820	57.539874
FBgn0262733	-364.418120	-286.864687	-270.930252	-348.634523	312.953367	385.396784	572.497430
FBgn0052407	193.321290	97.883455	159.575699	118.157420	-192.601601	-209.273315	-167.062948
FBgn0035710	-23.706099	-16.810107	-11.495857	-12.515837	19.844756	22.062394	22.620750
