	GSM461182_untreat_single.counts	GSM461177_untreat_paired.counts	GSM461176_untreat_single.counts	GSM461178_untreat_paired.counts	GSM461181_treat_paired.counts	GSM461180_treat_paired.counts	GSM461179_treat_single.counts
FBgn0037223	0.789073	0.674483	1.222027	0.415875	-0.884251	-1.018515	-1.198692
FBgn0037290	-0.650685	-0.815953	-0.822673	-0.869803	0.890855	0.898168	1.370092
FBgn0000071	-0.883532	-0.748954	-0.801176	-0.699035	1.394821	1.059037	0.678840
FBgn0037646	0.556214	0.333272	1.273448	0.901618	-0.936118	-1.022150	-1.106284
FBgn0037678	-0.762935	-0.387901	-0.707284	-1.017410	1.067362	1.596216	0.211951
FBgn0261552	0.365837	0.855967	1.409067	0.342847	-1.130170	-1.085867	-0.757679
FBgn0002868	1.366758	-0.033963	1.218196	0.225919	-0.950705	-1.023613	-0.802592
FBgn0037754	1.459996	0.438524	0.828921	0.236678	-1.025988	-1.001865	-0.936267
FBgn0265276	-0.894442	-0.706105	-0.608986	-0.900625	0.766955	0.866743	1.476460
FBgn0038149	-0.803836	-0.792375	-0.843508	-0.672742	1.492374	0.915832	0.704254
FBgn0038198	-0.653674	-0.634554	-0.795260	-1.011352	1.478788	0.913275	0.702777
FBgn0038237	-0.264098	0.918437	1.625655	0.293543	-1.054280	-0.974368	-0.544889
FBgn0038261	-0.744555	-0.368720	-1.000414	-0.846239	1.043142	1.536128	0.380658
FBgn0263041	1.647552	0.123815	-0.025423	0.933855	-0.937296	-0.891622	-0.850881
FBgn0063649	1.030558	0.982942	0.774387	0.335571	-1.110035	-1.020452	-0.992971
FBgn0038528	-0.731051	-0.710218	-0.926310	-0.724002	1.125311	0.547536	1.418734
FBgn0038832	1.436764	0.466695	0.567977	0.565387	-0.980797	-1.022688	-1.033339
FBgn0039109	1.067532	0.864274	0.646210	0.585828	-0.965354	-1.144153	-1.054338
FBgn0039155	0.942074	0.663235	0.738104	0.851412	-1.046111	-1.067993	-1.080722
FBgn0039178	-0.835166	-0.793215	-0.531679	-0.693271	0.371003	1.829119	0.653209
FBgn0039257	0.885438	0.730837	1.120289	0.392441	-0.965069	-1.090823	-1.073111
FBgn0051092	-0.764038	-0.769052	-0.786614	-0.839199	1.179810	1.264710	0.714384
