GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
FBgn0039155	1086.97429520489	-4.14844993706187	0.134948867839185	-30.7409021171299	1.61792087196769e-207	1.38769073188669e-203	chr3R	24141394	24147490	+	protein_coding	Kal1
FBgn0003360	6409.57712820784	-2.99977727873844	0.104345058108963	-28.7486281871241	9.422381723996e-182	4.04078840233568e-178	chrX	10780892	10786958	-	protein_coding	sesB
FBgn0026562	65114.8405637953	-2.38016404989642	0.0843269165524042	-28.2254367550282	2.8504732396421e-175	8.14950299213677e-172	chr3R	26869237	26871995	-	protein_coding	BM-40-SPARC
FBgn0025111	2192.32236942864	2.69993883050466	0.0979445703043004	27.5659878042889	2.84676422110468e-167	6.10417418110372e-164	chrX	10778953	10786907	-	protein_coding	Ant2
FBgn0029167	5430.06727658048	-2.10506155636954	0.0925465977264138	-22.7459637424222	1.57328325850873e-114	2.69881010164587e-111	chr3L	13846053	13860001	+	protein_coding	Hml
FBgn0039827	390.901782011095	-3.50301408326107	0.160029619795947	-21.8897857017204	3.25038403462422e-106	4.64642397749533e-103	chr3R	31196915	31203722	+	protein_coding	CG1544
FBgn0035085	928.263812261588	-2.4140740790899	0.115185159372158	-20.9582040971975	1.57934340138481e-97	1.93514690766822e-94	chr2R	24945138	24946636	+	protein_coding	CG3770
FBgn0034736	330.38302328757	-3.01817864351876	0.158154182992205	-19.0837737353271	3.44466115098196e-81	3.69310733649653e-78	chr2R	22550093	22552113	+	protein_coding	CG6018
FBgn0264475	955.454453674265	-2.33448625218606	0.124230026382872	-18.7916425694965	8.84004051129829e-79	8.42455860726727e-76	chr3L	820758	821512	+	lincRNA	CR43883
FBgn0000071	468.057925667952	2.36001723955109	0.13564396876089	17.3986153686735	8.45213732130028e-68	7.24939818047925e-65	chr3R	6762592	6765261	+	protein_coding	Ama
FBgn0029896	708.938170145817	-2.2024048386209	0.128294430765028	-17.166800035573	4.70662358136251e-66	3.66988276884966e-63	chrX	6720003	6739986	-	protein_coding	CG3168
FBgn0038832	429.850329748409	-2.34071110479368	0.154836505033997	-15.1173077968902	1.24530652899108e-51	8.90082841596373e-49	chr3R	20842139	20844981	+	protein_coding	CG15695
FBgn0037754	394.464100332039	-2.07199361641286	0.144940686339938	-14.2954588441321	2.33561295050317e-46	1.54096555972813e-43	chr3R	9784652	9789323	+	protein_coding	CG8500
FBgn0264753	170.064179570852	-2.59345911905048	0.18196381003005	-14.2526094536172	4.31838362210092e-46	2.64562688048283e-43	chr2R	19311147	19356525	-	protein_coding	Rgk1
FBgn0034897	1340.88978023299	-1.79510650765702	0.12629202865919	-14.2139335848446	7.50865543169072e-46	4.29344917584075e-43	chr2R	23713899	23734846	+	protein_coding	Sesn
FBgn0035189	307.044836616	2.42860686965532	0.172849293531203	14.0504298284384	7.65678957448679e-45	4.10451776127333e-42	chr3L	1203315	1204795	-	protein_coding	CG9119
FBgn0011260	291.046800019107	1.96746091024658	0.144441835125155	13.6211292839213	2.9989427465691e-42	1.51305481984254e-39	chr2R	16500177	16533459	+	protein_coding	Sema-2a
FBgn0027279	4342.46222938062	-1.16556778313685	0.086026438308277	-13.548948509992	8.03731938378787e-42	3.82978268637492e-39	chrX	22487179	22508129	+	protein_coding	l(1)G0196
FBgn0040099	1269.36257331921	-1.65424331975253	0.123150545460526	-13.4326917803443	3.89009850155714e-41	1.75607236041345e-38	chr2L	7857076	7860120	+	protein_coding	lectin-28C
FBgn0024288	86.5827933670693	-2.86781820433283	0.214876855892198	-13.3463336124556	1.24423745479663e-40	5.33591232489534e-38	chr3R	31065252	31083407	+	protein_coding	Sox100B
FBgn0001226	1764.7869878867	1.56713548792545	0.117953762174502	13.2860152913734	2.79047587552857e-40	1.13971007544803e-37	chr3L	9384062	9385694	+	protein_coding	Hsp27
FBgn0085359	101.004767343504	-2.90913823329213	0.219771777205677	-13.2370874471728	5.35869196288476e-40	2.08915913480285e-37	chrX	19068274	19068973	-	protein_coding	CG34330
