	GSM461182_untreat_single.counts	GSM461177_untreat_paired.counts	GSM461176_untreat_single.counts	GSM461178_untreat_paired.counts	GSM461181_treat_paired.counts	GSM461180_treat_paired.counts	GSM461179_treat_single.counts	GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
FBgn0037223	55.2526239774467	52.603112130851	65.2633163729841	46.6236067051222	16.5623496306685	13.4579064398869	9.29190877265921	FBgn0037223	37.0078320042312	-1.16170579696635	0.229739291524119	-5.05662653201134	4.26737770805879e-07	1.19222471016353e-05	chr3R	4243605	4245511	+	pseudogene	TwdlU
FBgn0037290	39.2907548284066	23.3791609470449	22.7321663771068	18.1945782263891	187.706629147577	188.410690158417	233.84637077859	FBgn0037290	101.937192923362	2.28148409860067	0.199476243552264	11.4373724809135	2.71998650162824e-30	6.48036784012928e-28	chr3R	4965444	4968485	+	protein_coding	CG1124
FBgn0000071	100.682559247792	156.640378345201	134.926406883473	177.397137707294	1048.0286794073	908.408684692367	750.321633392231	FBgn0000071	468.057925667952	2.36001723955109	0.13564396876089	17.3986153686735	8.45213732130028e-68	7.24939818047925e-65	chr3R	6762592	6765261	+	protein_coding	Ama
FBgn0037646	84.7206900987516	74.8133150305437	116.594014643871	100.07018024514	18.4026107007428	14.5793986432108	10.8405602347691	FBgn0037646	60.0029670852898	-1.69205017803619	0.221355007520791	-7.64405647284606	2.10483018721211e-14	1.71934557292555e-12	chr3R	8980859	8982793	+	protein_coding	CAHbeta
FBgn0037678	22.1010495909787	36.2376994679196	24.198757756275	12.5087725306425	91.092922968677	111.027728129067	58.848755560175	FBgn0037678	50.8593837148193	1.11235790371638	0.226444268102884	4.912281123455	9.00228524843751e-07	2.3256807402364e-05	chr3R	9330884	9331885	-	protein_coding	CG16749
FBgn0261552	10844.2483326402	13444.1865025982	16378.1592268607	10722.2923810389	2908.5326212524	3143.54264591692	4884.44671149452	FBgn0261552	8903.62977454312	-1.63112303838048	0.133140316583346	-12.2511578779324	1.65614322929368e-34	4.89818637160411e-32	chr3R	9417939	9455500	+	protein_coding	ps
FBgn0002868	315.55387471564	154.302462250496	298.451345660725	184.22010454219	48.7669183569685	40.3737193196608	65.8176871396694	FBgn0002868	158.212301712193	-1.71122707308562	0.175735426531315	-9.73751910392804	2.08584361762113e-22	3.03225096751465e-20	chr3R	9783406	9784370	-	protein_coding	MtnA
FBgn0037754	809.143982247498	519.017373024397	629.900997352735	461.687422494624	103.05461992416	109.906235925743	128.538071355119	FBgn0037754	394.464100332039	-2.07199361641286	0.144940686339938	-14.2954588441321	2.33561295050317e-46	1.54096555972813e-43	chr3R	9784652	9789323	+	protein_coding	CG8500
FBgn0265276	89.6320344523025	118.064762782577	132.726519814721	88.698568853647	340.448297963742	355.513028453679	447.560272549752	FBgn0265276	224.663354981489	1.58372312431074	0.163621021037846	9.67921550828376	3.69540614786674e-22	5.19598336561525e-20	chr3R	11765037	11779128	-	protein_coding	l(3)neo38
FBgn0038149	995.775067682429	1002.96600462823	970.883493009337	1078.02875991356	2436.50565677835	2074.76057614923	1942.00893348578	FBgn0038149	1500.13264166384	1.01091144748288	0.102077374941142	9.90338405612187	4.02422768403311e-23	6.27560015380945e-21	chr3R	13398525	13401862	-	protein_coding	GILT1
FBgn0038198	42.9742630935697	44.4204057993853	32.2650103417	15.9202559480905	204.268978778245	161.494877278643	145.573237438328	FBgn0038198	92.4167183825659	1.63152954583235	0.212437319450812	7.68005146200366	1.59024693164211e-14	1.35045029036578e-12	chr3R	14089516	14092425	+	protein_coding	Npc2b
FBgn0038237	34.3794104748557	74.8133150305437	98.9949180938523	53.4465735400181	7.36104428029713	10.0934298299152	24.7784233937579	FBgn0038237	43.4095878061772	-1.1058927041585	0.23287121220694	-4.74894553808461	2.0447999385749e-06	4.89895225507177e-05	chr3R	14513900	14558304	-	protein_coding	Pde6
FBgn0038261	23.3288856793664	33.8997833732151	16.13250517085	20.4689005046878	73.6104428029713	87.476391859265	54.9771269049003	FBgn0038261	44.270576613608	1.00626359447393	0.224124341056107	4.48975595302263	7.13048208046689e-06	0.000152514076818365	chr3R	14798985	14801163	+	protein_coding	CG14856
FBgn0263041	327.832235599517	174.174749055485	159.125164639748	255.861256308597	67.1695290577113	71.7755010127302	75.8839216433836	FBgn0263041	161.688908188167	-1.26263198901884	0.196742244415151	-6.41769637615055	1.3835183595079e-10	6.02357206573568e-09	chr3R	15637167	15638181	+	protein_coding	CG43336
FBgn0063649	1204.50720270834	1187.66137610988	1113.87615247824	958.626840302878	447.183440028051	478.877170819309	488.599536295663	FBgn0063649	839.904531248908	-1.14800827722957	0.114904395036318	-9.99098665344106	1.66912000844576e-23	2.75308506008448e-21	chr3R	16154981	16171766	+	protein_coding	CG6006
FBgn0038528	142.428986252974	144.950797871678	118.793901712623	143.282303532814	367.132083479819	297.195433880836	402.649380148566	FBgn0038528	230.918983839902	1.20404345235663	0.158130678694867	7.61423059898446	2.65266838917127e-14	2.14373389177754e-12	chr3R	17619099	17619688	+	protein_coding	CG14326
FBgn0038832	895.092508434637	580.972149534066	613.768492181885	612.929854001484	112.255925274531	98.6913138925041	95.2420649197569	FBgn0038832	429.850329748409	-2.34071110479368	0.154836505033997	-15.1173077968902	1.24530652899108e-51	8.90082841596373e-49	chr3R	20842139	20844981	+	protein_coding	CG15695
FBgn0039109	977.357526356613	917.632067171513	853.556182675882	835.813437274751	380.013910970339	327.475723370582	353.866859092105	FBgn0039109	663.673672415969	-1.24008932849183	0.118444335519286	-10.4698069608395	1.18885191120761e-25	2.16952826434632e-23	chr3R	23723330	23731499	+	protein_coding	CG10365
FBgn0039155	1980.49961056937	1716.0304135131	1787.04159551643	1894.51045782277	94.7734451088256	74.018485419378	61.9460584843947	FBgn0039155	1086.97429520489	-4.14844993706187	0.134948867839185	-30.7409021171299	1.61792087196769e-207	1.38769073188669e-203	chr3R	24141394	24147490	+	protein_coding	Kal1
FBgn0039178	6.13918044193852	7.01374828411347	12.4660267229296	9.09728911319457	31.2844381912628	61.682071182815	37.1676350906368	FBgn0039178	23.5500555752701	1.04091737040338	0.232626396559571	4.47463136513324	7.65432554560179e-06	0.000162906079912225	chr3R	24283954	24288617	+	protein_coding	CG6356
FBgn0039257	1123.47002087475	1074.27244551671	1198.20515678041	966.586968276923	534.595840856579	494.578061665844	500.214422261488	FBgn0039257	841.703273747529	-1.01387326590747	0.111675057095907	-9.07877991982361	1.0979870124359e-19	1.38491685377392e-17	chr3R	24984383	25022867	+	protein_coding	tnc
FBgn0051092	92.0877066290779	91.1787276934751	87.995482750091	78.4641186013031	444.423048422939	459.811803362803	360.061464940544	FBgn0051092	230.574621771462	1.95080030280113	0.15643681046786	12.4702127137904	1.08535937585378e-35	3.44782495062883e-33	chr3R	25698726	25740465	-	protein_coding	LpR2
FBgn0002609	119.100100573607	79.4891472199527	77.7293430959137	72.7783129055565	23.9233939109657	26.9158128797738	36.3933093595819	FBgn0002609	62.3327742779074	-1.05672228093519	0.214592904312157	-4.92431138076229	8.46579411216296e-07	2.20033685151581e-05	chr3R	26021822	26023127	+	protein_coding	E(spl)m3-HLH
FBgn0039419	3553.35763979402	3641.30431750224	3615.14774964957	3284.12136986324	1551.34008207262	1489.34164601415	1636.92459545013	FBgn0039419	2681.64820004943	-1.11967740680624	0.0904723138673854	-12.3759121320525	3.52862629289536e-35	1.08089384693441e-32	chr3R	26230247	26234700	+	protein_coding	CG12290
